,anime_id,title,image_url,genre
45,14713,Kamisama Hajimemashita,https://myanimelist.cdn-dena.com/images/anime/3/85429.jpg,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo"
46,232,Cardcaptor Sakura,https://myanimelist.cdn-dena.com/images/anime/8/60781.jpg,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, School, Shoujo"
47,233,Daa! Daa! Daa!,https://myanimelist.cdn-dena.com/images/anime/3/21166.jpg,"Comedy, Sci-Fi, Shoujo"
48,9656,Kimi ni Todoke 2nd Season,https://myanimelist.cdn-dena.com/images/anime/8/27174.jpg,"Slice of Life, Drama, Romance, School, Shoujo"
49,9926,Sekaiichi Hatsukoi,https://myanimelist.cdn-dena.com/images/anime/6/29763.jpg,"Comedy, Drama, Romance, Shounen Ai"
50,2564,Code-E,https://myanimelist.cdn-dena.com/images/anime/10/57435.jpg,"Comedy, Romance, School, Sci-Fi, Slice of Life"
51,3092,Junjou Romantica,https://myanimelist.cdn-dena.com/images/anime/7/8811.jpg,"Comedy, Drama, Romance, Shounen Ai"
52,1579,Kiniro no Corda: Primo Passo,https://myanimelist.cdn-dena.com/images/anime/9/7228.jpg,"Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo"
53,32370,D.Gray-man Hallow,https://myanimelist.cdn-dena.com/images/anime/12/80766.jpg,"Action, Adventure, Super Power, Demons, Shounen"
54,11547,Sengoku☆Paradise Kiwami,https://myanimelist.cdn-dena.com/images/anime/11/39031.jpg,"Action, Comedy, Drama, Historical, Romance, Samurai, Shoujo"
55,33185,Peace Maker Kurogane Movie 1: Omou Michi,https://myanimelist.cdn-dena.com/images/anime/1379/91338.jpg,"Action, Comedy, Historical, Samurai, Shounen"
56,7518,Boku wa Kuma,https://myanimelist.cdn-dena.com/images/anime/3/18043.jpg,"Kids, Music, Slice of Life"
57,16642,Ane Koi: Suki Kirai Daisuki.,https://myanimelist.cdn-dena.com/images/anime/5/47029.jpg,Hentai
58,7605,Parasol Henbei,https://myanimelist.cdn-dena.com/images/anime/6/44704.jpg,"Adventure, Comedy, Fantasy, Kids, Magic"
59,9389,Ginga Hyouryuu Vifam: Kieta 12-nin,https://myanimelist.cdn-dena.com/images/anime/11/59747.jpg,"Sci-Fi, Adventure, Space, Mecha"
60,34152,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,https://myanimelist.cdn-dena.com/images/anime/10/83150.jpg,"Action, Mystery, Horror, Psychological"
61,9998,Chuuhai Lemon: Love 30s - Ame ni Nurete mo,https://myanimelist.cdn-dena.com/images/anime/6/27716.jpg,"Police, Comedy, Romance, Drama"
